厂商,上游模型,Trinity ID,档位,官方价,上游价,刊例价,上游vs官方,刊例vs上游
Kimi,kimi-k2.7-code-highspeed,kimi-k2.7-code-highspeed,统一价,入 ¥13 · 出 ¥54 · 缓 ¥2.6,入 ¥13 · 出 ¥54 · 缓 ¥2.6,入 $2 · 出 $8.307692 · 缓 $0.4,✅ 一致,✅ 一致
MiniMax,mimo-v2.5-pro,-,0<Token≤256K,—,入 ¥7 · 出 ¥21 · 缓 ⚠,—,—,—
MiniMax,minimax-m2.7,minimax-m2.7,统一价,入 ¥2.1 · 出 ¥8.4 · 缓 ¥0.42,入 ¥2.1 · 出 ¥8.4 · 缓 ¥0.42,入 $0.323077 · 出 $1.292308 · 缓 $0.064615,✅ 一致,✅ 一致
MiniMax,minimax-m3,minimax-m3,统一价,入 ¥4.2 · 出 ¥16.8 · 缓 ¥0.84,入 ¥4.2 · 出 ¥16.8 · 缓 ¥0.84,入 $0.646154 · 出 $2.584615 · 缓 $0.129231,✅ 一致,✅ 一致
QVQ,qwen3-vl-flash,-,0<Token≤32K,—,入 ¥0.15 · 出 ¥1.5 · 缓 ¥0.03,—,—,—
,,,32K<Token≤128K,—,入 ¥0.3 · 出 ¥3 · 缓 ¥0.06,—,—,—
,,,128K<Token≤256K,—,入 ¥0.6 · 出 ¥6 · 缓 ¥0.12,—,—,—
QVQ,qwen3-vl-flash-2025-10-15,-,0<Token≤32K,—,入 ¥0.15 · 出 ¥1.5 · 缓 ¥0.03,—,—,—
,,,32K<Token≤128K,—,入 ¥0.3 · 出 ¥3 · 缓 ¥0.06,—,—,—
,,,128K<Token≤256K,—,入 ¥0.6 · 出 ¥6 · 缓 ¥0.12,—,—,—
QVQ,qwen3-vl-flash-2026-01-22,-,0<Token≤32K,—,入 ¥0.15 · 出 ¥1.5 · 缓 ¥0.03,—,—,—
,,,32K<Token≤128K,—,入 ¥0.3 · 出 ¥3 · 缓 ¥0.06,—,—,—
,,,128K<Token≤256K,—,入 ¥0.6 · 出 ¥6 · 缓 ¥0.12,—,—,—
QVQ,qwen3-vl-plus,-,0<Token≤32K,—,入 ¥1 · 出 ¥10 · 缓 ¥0.2,—,—,—
,,,32K<Token≤128K,—,入 ¥1.5 · 出 ¥15 · 缓 ¥0.3,—,—,—
,,,128K<Token≤256K,—,入 ¥3 · 出 ¥30 · 缓 ¥0.6,—,—,—
QVQ,qwen3-vl-plus-2025-09-23,-,0<Token≤32K,—,入 ¥1 · 出 ¥10 · 缓 ¥0.2,—,—,—
,,,32K<Token≤128K,—,入 ¥1.5 · 出 ¥15 · 缓 ¥0.3,—,—,—
,,,128K<Token≤256K,—,入 ¥3 · 出 ¥30 · 缓 ¥0.6,—,—,—
QVQ,qwen3-vl-plus-2025-12-19,-,0<Token≤32K,—,入 ¥1 · 出 ¥10 · 缓 ¥0.2,—,—,—
,,,32K<Token≤128K,—,入 ¥1.5 · 出 ¥15 · 缓 ¥0.3,—,—,—
,,,128K<Token≤256K,—,入 ¥3 · 出 ¥30 · 缓 ¥0.6,—,—,—
Stepfun,step-3.7-flash,-,统一价,—,入 ¥1.35 · 出 ¥8.1 · 缓 ⚠,—,—,—
